trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition
4,bimdah,haagle,pakrid,limeber,jeelow,nellby,bimdah limeber haagle jeelow pakrid nellby,isolated-left
5,fisslin,goorshell,haagle,limeber,jeelow,nellby,fisslin limeber goorshell jeelow haagle nellby,isolated-left
6,rakken,makkot,fisslin,limeber,jeelow,nellby,rakken limeber makkot jeelow fisslin nellby,isolated-left
7,dingep,goorshell,sumbark,limeber,nellby,jeelow,dingep limeber goorshell nellby sumbark jeelow,isolated-left
8,rakken,dingep,sumbark,limeber,jeelow,nellby,rakken limeber dingep jeelow sumbark nellby,isolated-left
9,goorshell,makkot,sumbark,limeber,nellby,jeelow,goorshell limeber makkot nellby sumbark jeelow,isolated-left
10,haagle,pakrid,rakken,limeber,jeelow,nellby,haagle limeber pakrid jeelow rakken nellby,isolated-left
11,bimdah,haagle,goorshell,limeber,nellby,jeelow,bimdah limeber haagle nellby goorshell jeelow,isolated-left
12,barget,fisslin,haagle,limeber,jeelow,nellby,barget limeber fisslin jeelow haagle nellby,isolated-left
13,sumbark,fisslin,makkot,limeber,nellby,jeelow,sumbark limeber fisslin nellby makkot jeelow,isolated-left
14,fisslin,haagle,bimdah,limeber,jeelow,nellby,fisslin limeber haagle jeelow bimdah nellby,isolated-left
15,makkot,rakken,haagle,limeber,jeelow,nellby,makkot limeber rakken jeelow haagle nellby,isolated-left
16,pakrid,haagle,bimdah,limeber,nellby,jeelow,pakrid limeber haagle nellby bimdah jeelow,isolated-left
17,barget,goorshell,makkot,limeber,nellby,jeelow,barget limeber goorshell nellby makkot jeelow,isolated-left
18,barget,fisslin,makkot,limeber,nellby,jeelow,barget limeber fisslin nellby makkot jeelow,isolated-left
19,rakken,pakrid,haagle,limeber,nellby,jeelow,rakken limeber pakrid nellby haagle jeelow,isolated-left
20,sumbark,haagle,rakken,limeber,nellby,jeelow,sumbark limeber haagle nellby rakken jeelow,isolated-left
1,rakken,dingep,pakrid,nellby,jeelow,limeber,rakken nellby dingep jeelow pakrid limeber,isolated-center
2,rakken,makkot,pakrid,limeber,jeelow,nellby,rakken limeber makkot jeelow pakrid nellby,isolated-center
3,barget,dingep,sumbark,nellby,jeelow,limeber,barget nellby dingep jeelow sumbark limeber,isolated-center
4,bimdah,haagle,pakrid,limeber,jeelow,nellby,bimdah limeber haagle jeelow pakrid nellby,isolated-center
5,fisslin,goorshell,haagle,limeber,jeelow,nellby,fisslin limeber goorshell jeelow haagle nellby,isolated-center
6,rakken,makkot,fisslin,nellby,jeelow,limeber,rakken nellby makkot jeelow fisslin limeber,isolated-center
7,dingep,goorshell,sumbark,limeber,jeelow,nellby,dingep limeber goorshell jeelow sumbark nellby,isolated-center
8,rakken,dingep,sumbark,limeber,jeelow,nellby,rakken limeber dingep jeelow sumbark nellby,isolated-center
9,goorshell,makkot,sumbark,nellby,jeelow,limeber,goorshell nellby makkot jeelow sumbark limeber,isolated-center
10,haagle,pakrid,rakken,limeber,jeelow,nellby,haagle limeber pakrid jeelow rakken nellby,isolated-center
11,bimdah,haagle,goorshell,nellby,jeelow,limeber,bimdah nellby haagle jeelow goorshell limeber,isolated-center
12,barget,fisslin,haagle,limeber,jeelow,nellby,barget limeber fisslin jeelow haagle nellby,isolated-center
13,sumbark,fisslin,makkot,limeber,jeelow,nellby,sumbark limeber fisslin jeelow makkot nellby,isolated-center
14,fisslin,haagle,bimdah,nellby,jeelow,limeber,fisslin nellby haagle jeelow bimdah limeber,isolated-center
15,makkot,rakken,haagle,limeber,jeelow,nellby,makkot limeber rakken jeelow haagle nellby,isolated-center
16,pakrid,haagle,bimdah,nellby,jeelow,limeber,pakrid nellby haagle jeelow bimdah limeber,isolated-center
17,barget,goorshell,makkot,nellby,jeelow,limeber,barget nellby goorshell jeelow makkot limeber,isolated-center
18,barget,fisslin,makkot,nellby,jeelow,limeber,barget nellby fisslin jeelow makkot limeber,isolated-center
19,rakken,pakrid,haagle,limeber,jeelow,nellby,rakken limeber pakrid jeelow haagle nellby,isolated-center
20,sumbark,haagle,rakken,nellby,jeelow,limeber,sumbark nellby haagle jeelow rakken limeber,isolated-center
1,rakken,dingep,pakrid,limeber,jeelow,nellby,rakken limeber dingep jeelow pakrid nellby,isolated-right
2,rakken,makkot,pakrid,jeelow,limeber,nellby,rakken jeelow makkot limeber pakrid nellby,isolated-right
3,barget,dingep,sumbark,jeelow,limeber,nellby,barget jeelow dingep limeber sumbark nellby,isolated-right
4,bimdah,haagle,pakrid,limeber,jeelow,nellby,bimdah limeber haagle jeelow pakrid nellby,isolated-right
5,fisslin,goorshell,haagle,limeber,jeelow,nellby,fisslin limeber goorshell jeelow haagle nellby,isolated-right
6,rakken,makkot,fisslin,jeelow,limeber,nellby,rakken jeelow makkot limeber fisslin nellby,isolated-right
7,dingep,goorshell,sumbark,jeelow,limeber,nellby,dingep jeelow goorshell limeber sumbark nellby,isolated-right
8,rakken,dingep,sumbark,jeelow,limeber,nellby,rakken jeelow dingep limeber sumbark nellby,isolated-right
9,goorshell,makkot,sumbark,jeelow,limeber,nellby,goorshell jeelow makkot limeber sumbark nellby,isolated-right
10,haagle,pakrid,rakken,limeber,jeelow,nellby,haagle limeber pakrid jeelow rakken nellby,isolated-right
11,bimdah,haagle,goorshell,jeelow,limeber,nellby,bimdah jeelow haagle limeber goorshell nellby,isolated-right
12,barget,fisslin,haagle,limeber,jeelow,nellby,barget limeber fisslin jeelow haagle nellby,isolated-right
13,sumbark,fisslin,makkot,limeber,jeelow,nellby,sumbark limeber fisslin jeelow makkot nellby,isolated-right
14,fisslin,haagle,bimdah,limeber,jeelow,nellby,fisslin limeber haagle jeelow bimdah nellby,isolated-right
15,makkot,rakken,haagle,limeber,jeelow,nellby,makkot limeber rakken jeelow haagle nellby,isolated-right
16,pakrid,haagle,bimdah,jeelow,limeber,nellby,pakrid jeelow haagle limeber bimdah nellby,isolated-right
17,barget,goorshell,makkot,jeelow,limeber,nellby,barget jeelow goorshell limeber makkot nellby,isolated-right
18,barget,fisslin,makkot,jeelow,limeber,nellby,barget jeelow fisslin limeber makkot nellby,isolated-right
19,rakken,pakrid,haagle,limeber,jeelow,nellby,rakken limeber pakrid jeelow haagle nellby,isolated-right
20,sumbark,haagle,rakken,limeber,jeelow,nellby,sumbark limeber haagle jeelow rakken nellby,isolated-right
