trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition
4,bimdah,haagle,pakrid,chelad,jeelow,nellby,bimdah chelad haagle jeelow pakrid nellby,isolated-right
5,fisslin,goorshell,haagle,chelad,jeelow,nellby,fisslin chelad goorshell jeelow haagle nellby,isolated-right
6,rakken,makkot,fisslin,jeelow,chelad,nellby,rakken jeelow makkot chelad fisslin nellby,isolated-right
7,dingep,goorshell,sumbark,jeelow,chelad,nellby,dingep jeelow goorshell chelad sumbark nellby,isolated-right
8,rakken,dingep,sumbark,jeelow,chelad,nellby,rakken jeelow dingep chelad sumbark nellby,isolated-right
9,goorshell,makkot,sumbark,jeelow,chelad,nellby,goorshell jeelow makkot chelad sumbark nellby,isolated-right
10,haagle,pakrid,rakken,chelad,jeelow,nellby,haagle chelad pakrid jeelow rakken nellby,isolated-right
11,bimdah,haagle,goorshell,jeelow,chelad,nellby,bimdah jeelow haagle chelad goorshell nellby,isolated-right
12,barget,fisslin,haagle,chelad,jeelow,nellby,barget chelad fisslin jeelow haagle nellby,isolated-right
13,sumbark,fisslin,makkot,chelad,jeelow,nellby,sumbark chelad fisslin jeelow makkot nellby,isolated-right
14,fisslin,haagle,bimdah,chelad,jeelow,nellby,fisslin chelad haagle jeelow bimdah nellby,isolated-right
15,makkot,rakken,haagle,chelad,jeelow,nellby,makkot chelad rakken jeelow haagle nellby,isolated-right
16,pakrid,haagle,bimdah,jeelow,chelad,nellby,pakrid jeelow haagle chelad bimdah nellby,isolated-right
17,barget,goorshell,makkot,jeelow,chelad,nellby,barget jeelow goorshell chelad makkot nellby,isolated-right
18,barget,fisslin,makkot,jeelow,chelad,nellby,barget jeelow fisslin chelad makkot nellby,isolated-right
19,rakken,pakrid,haagle,chelad,jeelow,nellby,rakken chelad pakrid jeelow haagle nellby,isolated-right
20,sumbark,haagle,rakken,chelad,jeelow,nellby,sumbark chelad haagle jeelow rakken nellby,isolated-right
